country,commun,surveypl,surveyyr,hhnum,weight,members,workers,nonwork,lifecycl,hsex,hage,heduc,hparent,hempl,hocc,hby,spsex,speduc,spparent,spempl,spocc,unitype1,unibeg1,sons,daus,proptyp1,propmat1,propflr1,proprms1,propdol1,propten1,water,electric,sewer,stove,refrig,washing,sewing,radio,tv,stereo,phone
1,87,1,1/1/2001,121,9.2,5,1,4,3,1,49,6,1,3,552,2,2,2,1,1,20,4,1/1/1987,3,0,1,3,2,3,2,3,1,1,1,1,1,1,2,2,1,2,2
1,87,1,1/1/2001,122,9.2,8,1,7,3,1,38,12,1,3,214,2,2,9,1,1,20,4,1/1/1986,3,3,1,3,3,6,2,3,1,1,1,1,1,1,1,1,1,1,2
1,87,1,1/1/2001,123,9.2,13,7,6,5,2,55,6,1,3,820,3,8888,8888,8888,8888,8888,4,1/1/1960,0,3,1,3,3,5,2,3,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,124,9.2,2,1,1,5,2,70,0,1,1,20,5,8888,8888,8888,8888,8888,4,1/1/1979,0,0,1,3,3,6,2,4,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,125,9.2,5,3,3,3,1,53,3,1,3,526,3,2,0,1,1,20,4,1/1/1970,1,2,1,3,3,3,8888,5,1,1,1,1,1,1,2,1,1,2,1
1,87,1,1/1/2001,126,9.2,3,1,2,5,1,87,2,1,1,51,2,2,3,1,1,20,4,1/1/1935,0,0,1,3,2,4,2,3,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,127,9.2,4,1,4,3,1,39,3,1,2,10,2,2,0,1,1,20,4,1/1/1985,0,2,1,3,2,3,2,2,1,1,1,1,1,1,2,1,1,1,2
1,87,1,1/1/2001,128,9.2,5,3,2,5,1,48,3,1,3,526,3,2,3,1,1,20,4,1/1/1972,1,1,1,3,3,3,1,3,1,1,1,1,1,1,1,2,1,2,1
1,87,1,1/1/2001,129,9.2,5,1,4,3,1,57,2,1,3,710,2,2,6,1,1,20,4,1/1/1983,2,1,1,3,3,3,2,3,1,1,1,1,1,1,1,1,1,1,1
1,87,1,1/1/2001,130,9.2,7,7,2,1,2,49,6,2,3,522,3,8888,8888,8888,8888,8888,8888,1/1/8888,0,0,1,3,2,5,2,3,1,1,1,1,1,1,1,2,1,2,2
1,87,1,1/1/2001,131,9.2,8,5,3,3,1,41,5,1,3,529,3,2,5,1,1,20,4,1/1/1979,1,3,1,2,2,4,8888,1,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,132,9.2,13,4,9,3,1,42,12,1,3,711,4,2,6,1,1,20,4,1/1/1980,1,6,1,3,3,6,8888,1,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,133,9.2,12,4,8,3,1,54,2,1,3,215,3,2,2,1,1,20,4,1/1/1968,2,3,1,3,3,6,2,3,1,1,1,1,1,1,2,1,1,1,1
1,87,1,1/1/2001,134,9.2,10,3,7,5,1,63,3,1,3,710,2,2,3,1,1,20,4,1/1/1964,2,1,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,2,1
1,87,1,1/1/2001,135,9.2,2,1,1,5,2,85,2,1,1,20,5,8888,8888,8888,8888,8888,4,1/1/1934,1,0,1,3,3,5,2,3,1,1,1,1,1,1,1,1,1,2,2
1,87,1,1/1/2001,136,9.2,4,1,3,2,1,24,6,1,3,542,3,2,9,1,1,20,3,1/1/1999,1,1,1,3,3,3,2,2,1,1,1,1,1,1,2,1,1,2,1
